ATLAS Name,RA (degrees),Dec (degrees),A_g,A_r,A_i
ATLAS18xtq,354.300388,40.721772,0.467,0.323,0.24
ATLAS18xuo,113.538023,4.549278,0.177,0.122,0.091
ATLAS18yaz,330.393839,-17.462541,0.129,0.089,0.066
ATLAS18yco,39.616049,29.759004,0.516,0.357,0.265
ATLAS18zjj,119.630742,26.120904,0.129,0.089,0.066
ATLAS18zkg,186.550324,58.314147,0.037,0.026,0.019
ATLAS18zkk,125.072237,20.875609,0.172,0.119,0.088
ATLAS18zkl,126.127295,18.604246,0.188,0.13,0.096
ATLAS18zkn,125.740278,27.702876,0.117,0.081,0.06
ATLAS18zmo,49.211297,80.784603,0.8,0.554,0.411
ATLAS18zmp,171.838423,59.630116,0.055,0.038,0.028
ATLAS18zmt,46.512062,-15.611658,0.122,0.084,0.063
ATLAS18zmx,7.834188,30.793047,0.216,0.15,0.111
ATLAS18zna,336.973308,19.46069,0.173,0.119,0.089
ATLAS18zoc,49.484421,-0.169622,0.24,0.166,0.123
ATLAS18zot,40.671985,-0.008831,0.11,0.076,0.057
ATLAS18zro,35.290854,-4.073238,0.068,0.047,0.035
ATLAS18zrw,125.367425,3.164563,0.085,0.059,0.044
ATLAS18zrx,142.729552,-4.571245,0.093,0.064,0.048
ATLAS18zvg,136.15379,-19.785987,0.667,0.462,0.343
ATLAS18zvh,170.888481,-8.651327,0.137,0.095,0.07
ATLAS18zvl,145.632788,7.096077,0.113,0.078,0.058
ATLAS18zvy,144.036421,6.257489,0.191,0.132,0.098
ATLAS19aaj,94.110507,-21.375705,0.287,0.198,0.147
ATLAS19aal,61.263801,25.261941,0.858,0.594,0.441
ATLAS19aar,195.060504,27.956784,0.033,0.023,0.017
ATLAS19aat,240.677001,15.236462,0.143,0.099,0.074
ATLAS19aau,106.148593,17.569599,0.174,0.12,0.089
ATLAS19aaw,179.318372,36.416709,0.074,0.051,0.038
ATLAS19aaz,27.794415,-3.490237,0.095,0.066,0.049
ATLAS19abc,95.591183,29.322916,1.032,0.714,0.53
ATLAS19aep,328.920779,24.90571,0.22,0.152,0.113
ATLAS19ahg,55.580856,30.159108,0.866,0.599,0.445
ATLAS19ahm,192.904903,12.573354,0.1,0.069,0.052
ATLAS19asd,156.822595,26.5331,0.086,0.06,0.044
ATLAS19awe,180.650614,4.549562,0.062,0.043,0.032
ATLAS19bab,157.341566,29.510638,0.066,0.046,0.034
ATLAS19bael,32.37655,-6.967203,0.082,0.057,0.042
ATLAS19bagd,165.569623,44.334811,0.041,0.028,0.021
ATLAS19bagn,168.813843,-27.653284,0.234,0.162,0.12
ATLAS19bakx,155.017249,-37.997805,0.234,0.162,0.12
ATLAS19baky,129.690207,-14.680212,0.202,0.14,0.104
ATLAS19bakz,193.673761,28.942154,0.039,0.027,0.02
ATLAS19bala,6.564553,21.809991,0.146,0.101,0.075
ATLAS19baor,13.59341,31.670221,0.203,0.141,0.104
ATLAS19bati,32.524143,-32.938836,0.047,0.033,0.024
ATLAS19baum,12.920234,-13.318251,0.076,0.053,0.039
ATLAS19bavv,184.927212,-12.225707,0.151,0.104,0.078
ATLAS19bays,143.81012,13.13473,0.09,0.062,0.046
ATLAS19bbfc,203.076619,7.940446,0.086,0.06,0.044
ATLAS19bbhr,46.089368,-16.02413,0.153,0.106,0.079
ATLAS19bbhu,186.68198,56.075799,0.053,0.036,0.027
ATLAS19bbhw,167.255119,-14.636178,0.183,0.126,0.094
ATLAS19bbmq,181.448285,-27.94403,0.217,0.15,0.111
ATLAS19bbmr,166.00093,-18.776507,0.155,0.108,0.08
ATLAS19bbmt,194.859353,27.997477,0.03,0.021,0.015
ATLAS19bbun,104.646692,45.20879,0.332,0.23,0.171
ATLAS19bchy,299.61893,62.13773,0.34,0.235,0.175
ATLAS19bcjh,180.678042,1.984346,0.074,0.051,0.038
ATLAS19bcjk,169.632964,-12.140354,0.221,0.153,0.114
ATLAS19bcrg,199.08642,30.680175,0.04,0.028,0.02
ATLAS19bctg,350.146561,-0.880854,0.116,0.08,0.06
ATLAS19bcyv,176.538457,20.447704,0.079,0.055,0.041
ATLAS19bdc,48.05629,67.409715,3.247,2.246,1.669
ATLAS19bdcc,208.230622,3.028967,0.087,0.06,0.045
ATLAS19bdcu,217.283878,27.450232,0.055,0.038,0.028
ATLAS19bddm,214.222775,10.797864,0.085,0.059,0.044
ATLAS19bdho,32.904545,34.041365,0.325,0.225,0.167
ATLAS19bdir,141.966152,68.411822,0.197,0.136,0.101
ATLAS19bdm,345.730065,8.40283,0.169,0.117,0.087
ATLAS19bdst,229.499568,13.526278,0.145,0.1,0.074
ATLAS19bdsz,158.959773,-34.272692,0.233,0.161,0.12
ATLAS19bdtf,40.890124,-38.6252,0.059,0.041,0.03
ATLAS19bdu,34.498386,14.533477,0.372,0.257,0.191
ATLAS19beci,40.997888,32.528347,0.598,0.414,0.307
ATLAS19beck,152.734936,1.071472,0.118,0.082,0.061
ATLAS19becv,59.594691,6.71541,0.836,0.578,0.43
ATLAS19benc,191.283906,-0.459074,0.082,0.057,0.042
ATLAS19bfk,190.65169,-40.746326,0.477,0.33,0.245
ATLAS19bfl,204.181652,-31.836638,0.178,0.123,0.092
ATLAS19bfni,186.840994,64.799937,0.066,0.045,0.034
ATLAS19bfnp,203.833153,7.468987,0.11,0.076,0.057
ATLAS19bfod,214.133889,57.807989,0.042,0.029,0.021
ATLAS19bfsp,158.770095,46.560663,0.073,0.05,0.038
ATLAS19bfsq,184.880197,49.814214,0.054,0.037,0.028
ATLAS19bfsr,44.163823,47.526367,0.592,0.409,0.304
ATLAS19bfss,94.376892,62.491078,0.576,0.399,0.296
ATLAS19bfst,118.571979,14.273127,0.125,0.087,0.064
ATLAS19bfsu,6.094199,38.197357,0.204,0.141,0.105
ATLAS19bfsv,29.711599,-9.58484,0.092,0.064,0.047
ATLAS19bfsw,234.658839,36.958648,0.069,0.048,0.035
ATLAS19bfsx,334.020751,-26.678561,0.067,0.047,0.035
ATLAS19bfsy,331.906929,22.061155,0.298,0.206,0.153
ATLAS19bfta,9.89579,0.867864,0.067,0.046,0.034
ATLAS19bftb,221.883498,-19.766008,0.293,0.202,0.15
ATLAS19bftc,211.506629,12.780688,0.088,0.061,0.045
ATLAS19bftd,288.152806,-19.417088,0.481,0.333,0.247
ATLAS19bfte,263.521363,-14.808853,1.286,0.89,0.661
ATLAS19bftf,305.371822,59.740645,0.969,0.67,0.498
ATLAS19bfth,305.869669,-47.17489,0.108,0.074,0.055
ATLAS19bfti,231.185317,68.728787,0.082,0.057,0.042
ATLAS19bftj,78.941285,34.229417,3.597,2.488,1.849
ATLAS19boq,180.652512,41.061642,0.043,0.03,0.022
ATLAS19bqg,203.811193,44.766291,0.063,0.044,0.032
ATLAS19bqp,198.596115,30.485189,0.046,0.032,0.024
ATLAS19buf,7.372497,-13.478537,0.094,0.065,0.048
ATLAS19buw,235.488781,0.710943,0.377,0.261,0.194
ATLAS19bvw,184.273575,-26.629061,0.293,0.203,0.151
ATLAS19bzl,202.426633,47.187979,0.117,0.081,0.06
ATLAS19bzm,102.607564,43.053323,0.374,0.258,0.192
ATLAS19car,162.799042,5.842,0.099,0.068,0.051
ATLAS19cas,202.950074,-2.608605,0.112,0.078,0.058
ATLAS19cbm,153.178674,39.373932,0.047,0.032,0.024
ATLAS19cdi,66.705502,29.951595,1.514,1.048,0.778
ATLAS19cdj,180.428886,20.403809,0.133,0.092,0.069
ATLAS19cfn,220.387208,48.203955,0.074,0.051,0.038
ATLAS19cqs,159.409977,37.458262,0.074,0.051,0.038
